ID,H,M,L,EMBALLAGE,EMBALLE,NU,TOTAL OPAQUE,PART OPAQUE,PAS OPAQUE,PART TRANSLUCIDE,PAS TRANSLUCIDE,TOTAL TRANSPARENT,PART TRANSPARENT,PAS TRANSPARENT,REFLE OUI,REFLE NON,REFLE PART,LISSE,RUGUEUX,SURFACE REG,SURFACE IRREG,GEOM ALVEOLE,GEOM CONVEXE,GEOM ALEATOIRE,GEOM PLAT,PLIS,FLAP OUI,FLAP NON,OR,ARGENT,METALLISE,BLANC,BRUN,MULTICOULEUR,BEIGE,NOIR,ORANGE,ROUGE,JAUNE,VERT,BLEU,SOL1,SOL2,SOL3,SOL4,SOL5,SOL6,SOL7,SOL8,SOL9,SOL10,SOL11,SOL12,SOL13,SOL14,SOL15,SOL16,SOL17,SOL18,SOL19,SOL20,SOL21,SOL22,SOL23,SOL24,SOL25,SOL26,SOL27,SOL28,SOL29,SOL30
1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.8,0.8,1,0,0,0.2,0,0,0.2,0.8,0.8,1,0,0,0.2,0,0,0.2,0.8,0.8,1,1,1,1
2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,1,0,0,0,0,0,0,0.8,0.8,1,0,0,0,0,0,0,0.8,0.8,1,1,1,1
3,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.8,1,1,1,1
5,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.8,0.8,0.8
6,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.8,0.2,0,0,0,0.2,0.2,0,0,0.8,0.2,0,0,0,0.2,0.2,0,0,0.8,0.2,0,0,0
7,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8
8,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0.8,0.8,0,0.8,0,0,0,0.2,0.8,0.8,0.8,0,0.8,0,0,0,0.2,0.8,0.8,0.8,0,0.8,0,0,0,0
9,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0,0,0,0,0,0,0.8,0.8,0.8,0,0,0,0,0,0,0.8,0.8,0.8,1,1,1
